TRINITY_DN102004_c0_g1	GO:0008270
TRINITY_DN102011_c0_g1	GO:0005319; GO:0005524; GO:0005774; GO:0006869; GO:0016021; GO:0016887; GO:0042626; GO:0043231
TRINITY_DN102014_c0_g1	GO:0004746; GO:0009231
TRINITY_DN102016_c0_g1	GO:0003774; GO:0005516; GO:0005524; GO:0005737; GO:0007015; GO:0016459; GO:0030048; GO:0048767; GO:0051015
TRINITY_DN10203_c0_g1	GO:0000278; GO:0000776; GO:0000922; GO:0005524; GO:0005635; GO:0005737; GO:0005819; GO:0005868; GO:0005881; GO:0005938; GO:0007018; GO:0007097; GO:0008090; GO:0008569; GO:0016322; GO:0030286; GO:0031122; GO:0045503; GO:0045505; GO:0048489; GO:0048814; GO:0051293; GO:0051296; GO:0051661; GO:0051932; GO:0051959; GO:0072382; GO:1902473; GO:1904115; GO:1904811; GO:1990048
TRINITY_DN102051_c0_g1	GO:0005524; GO:0005886; GO:0016021; GO:0016887; GO:0033344; GO:0042626; GO:0042803; GO:0046982; GO:0055085; GO:1990830
TRINITY_DN102053_c0_g1	GO:0004177; GO:0004301; GO:0004463; GO:0005634; GO:0005737; GO:0006691; GO:0008237; GO:0008270; GO:0010043; GO:0019370; GO:0043171; GO:0043434; GO:0044255; GO:0060509
TRINITY_DN10209_c0_g1	GO:0005886; GO:0015297; GO:0016021; GO:0019531
TRINITY_DN102366_c0_g1	GO:0005737; GO:0046872; GO:0070006
TRINITY_DN10241_c0_g1	GO:0008270
TRINITY_DN102420_c0_g1	GO:0006486; GO:0009103; GO:0016757
TRINITY_DN102421_c0_g1	GO:0000139; GO:0005783; GO:0005829; GO:0006888; GO:0006890; GO:0008344; GO:0015031; GO:0021691; GO:0030126; GO:0030137; GO:0043473; GO:0051645
TRINITY_DN102421_c1_g1	GO:0000139; GO:0005829; GO:0006888; GO:0006890; GO:0015031; GO:0030126; GO:0030137; GO:0051645
TRINITY_DN102445_c0_g1	GO:0004356; GO:0005524; GO:0006807; GO:0009617; GO:0045335
TRINITY_DN102468_c0_g1	GO:0005886; GO:0016614; GO:0050660
TRINITY_DN102516_c0_g1	GO:0004096; GO:0006979; GO:0020037; GO:0042744; GO:0046872
TRINITY_DN10255_c0_g1	GO:0000935; GO:0004338; GO:0005576; GO:0006073; GO:0009251; GO:0009986; GO:0016021; GO:0031505; GO:0031520; GO:1904541; GO:1990819
TRINITY_DN102662_c0_g1	GO:0006464; GO:0008113
TRINITY_DN102666_c0_g1	
TRINITY_DN102667_c0_g1	GO:0005637; GO:0005882
TRINITY_DN102671_c0_g1	GO:0000209; GO:0002230; GO:0004842; GO:0004857; GO:0005634; GO:0005654; GO:0005737; GO:0005764; GO:0005765; GO:0005829; GO:0006302; GO:0006511; GO:0006974; GO:0007219; GO:0008047; GO:0008333; GO:0010390; GO:0015031; GO:0019899; GO:0031901; GO:0032092; GO:0032991; GO:0033522; GO:0033523; GO:0035563; GO:0042393; GO:0044389; GO:0045087; GO:0045893; GO:0046872; GO:0051444; GO:0051607; GO:0051865; GO:0070936; GO:0097677; GO:1900182; GO:1901666; GO:1902966; GO:2000646; GO:2001034
TRINITY_DN102678_c0_g1	GO:0000911; GO:0004674; GO:0005524; GO:0005737; GO:0005856; GO:0007112; GO:0009524; GO:0009558; GO:0019894
TRINITY_DN102813_c0_g1	GO:0003700; GO:0005634; GO:0008285; GO:0009723; GO:0009751; GO:0043565; GO:0045892
