A0A024RXP8	TRINITY_DN416168_c0_g1_i1	7.8e-07
A0A024SMV2	TRINITY_DN174741_c0_g1_i1	8.9e-10
A0A024SMV2	TRINITY_DN192522_c0_g1_i1	3.6e-11
A0A060X6Z0	TRINITY_DN123691_c0_g1_i1	3.5e-19
A0A067XMP1	TRINITY_DN166166_c0_g1_i1	1.1e-10
A0A067XMP1	TRINITY_DN166166_c0_g1_i2	2.0e-10
A0A067XMP1	TRINITY_DN245901_c0_g1_i3	4.4e-06
A0A067XMP1	TRINITY_DN336889_c0_g1_i1	3.6e-06
A0A067XMP1	TRINITY_DN341637_c0_g1_i1	1.8e-12
A0A067XMP1	TRINITY_DN393221_c0_g1_i1	4.0e-06
A0A067XMP1	TRINITY_DN74956_c0_g1_i1	2.6e-06
A0A067XMP2	TRINITY_DN118914_c0_g1_i1	2.3e-07
A0A067XMV3	TRINITY_DN18168_c0_g1_i2	4.6e-10
A0A068FIK2	TRINITY_DN648367_c0_g1_i1	8.3e-06
A0A075F932	TRINITY_DN17927_c0_g1_i1	3.1e-08
A0A075F932	TRINITY_DN241634_c0_g2_i1	6.8e-09
A0A075F932	TRINITY_DN270683_c0_g1_i1	8.3e-06
A0A075F932	TRINITY_DN270683_c0_g1_i2	9.0e-06
A0A075F932	TRINITY_DN277073_c0_g1_i1	7.1e-09
A0A075F932	TRINITY_DN278053_c1_g1_i1	3.1e-07
A0A075F932	TRINITY_DN281168_c0_g1_i1	4.0e-06
A0A075F932	TRINITY_DN291389_c1_g1_i1	4.9e-07
A0A075F932	TRINITY_DN291389_c2_g2_i4	6.9e-07
A0A075F932	TRINITY_DN291389_c2_g3_i2	3.4e-10
A0A075F932	TRINITY_DN291389_c2_g3_i3	5.2e-10
A0A075F932	TRINITY_DN292231_c2_g1_i1	9.9e-07
A0A075F932	TRINITY_DN300991_c1_g1_i1	1.3e-07
A0A075F932	TRINITY_DN300991_c1_g1_i4	1.5e-07
A0A075F932	TRINITY_DN305784_c0_g4_i3	6.1e-09
A0A075F932	TRINITY_DN305784_c0_g4_i4	4.7e-09
A0A075F932	TRINITY_DN305784_c0_g4_i5	1.7e-08
A0A075F932	TRINITY_DN649256_c0_g1_i1	3.2e-09
A0A084B9Z8	TRINITY_DN278849_c0_g1_i5	7.4e-08
A0A084R1K2	TRINITY_DN293270_c0_g1_i1	2.1e-14
A0A084R1K2	TRINITY_DN293270_c0_g1_i2	1.5e-17
A0A084R1K2	TRINITY_DN293270_c0_g1_i3	7.5e-14
A0A084R1K2	TRINITY_DN293270_c0_g1_i4	2.3e-18
A0A084R1K2	TRINITY_DN293270_c0_g1_i5	1.4e-15
A0A084R1K2	TRINITY_DN293270_c0_g1_i6	3.9e-16
A0A084R1K2	TRINITY_DN293270_c0_g1_i7	1.6e-17
A0A084R1K2	TRINITY_DN293270_c0_g1_i8	1.6e-15
A0A084R1K2	TRINITY_DN293270_c0_g1_i9	4.0e-18
A0A084R1K2	TRINITY_DN91707_c0_g1_i1	5.7e-08
A0A084R1K6	TRINITY_DN370494_c0_g1_i1	9.5e-06
A0A084R1M6	TRINITY_DN279326_c0_g3_i1	6.7e-11
A0A084R1N8	TRINITY_DN287541_c0_g1_i1	1.9e-06
A0A084R1N8	TRINITY_DN287541_c0_g1_i2	9.1e-07
A0A096LPI5	TRINITY_DN298529_c1_g1_i1	7.1e-11
A0A096LPI5	TRINITY_DN313940_c2_g1_i1	1.5e-08
A0A096LPI5	TRINITY_DN313940_c2_g1_i1	8.5e-12
A0A096LPI5	TRINITY_DN313940_c2_g1_i2	1.9e-10
A0A096LPI5	TRINITY_DN313940_c2_g1_i2	7.4e-10
A0A096MJZ0	TRINITY_DN546811_c0_g1_i1	2.1e-13
A0A0A1GKA2	TRINITY_DN169360_c0_g1_i1	5.9e-13
A0A0A1GKA2	TRINITY_DN186692_c0_g1_i1	6.1e-09
A0A0A1GKA2	TRINITY_DN215472_c0_g1_i1	3.8e-12
A0A0B4K692	TRINITY_DN446465_c0_g1_i1	5.2e-13
A0A0B4K7J2	TRINITY_DN479457_c0_g1_i1	1.4e-07
A0A0C5PRW9	TRINITY_DN658550_c0_g1_i1	1.6e-13
A0A0C5Q309	TRINITY_DN308522_c0_g2_i3	2.4e-22
A0A0C5Q309	TRINITY_DN308522_c0_g2_i3	8.1e-31
A0A0C5Q309	TRINITY_DN45623_c0_g1_i1	1.9e-07
A0A0D1CZ63	TRINITY_DN500929_c0_g1_i1	4.4e-07
A0A0D2YG02	TRINITY_DN320962_c0_g1_i1	5.2e-15
A0A0D2YG02	TRINITY_DN626771_c0_g1_i1	1.0e-19
A0A0D2YG02	TRINITY_DN673918_c0_g1_i1	2.5e-18
A0A0D2YG03	TRINITY_DN341638_c0_g1_i1	8.1e-10
A0A0D2YG06	TRINITY_DN482523_c0_g1_i1	7.3e-06
A0A0D2YG09	TRINITY_DN493356_c0_g1_i1	2.0e-06
A0A0D3MJQ5	TRINITY_DN299880_c0_g1_i1	1.8e-10
A0A0D3QS97	TRINITY_DN237075_c0_g1_i1	7.9e-06
A0A0D3QS97	TRINITY_DN317297_c2_g1_i3	1.1e-06
A0A0D3QS97	TRINITY_DN317297_c2_g1_i7	7.5e-07
A0A0D3QS97	TRINITY_DN434229_c0_g1_i1	7.7e-07
A0A0E0RTV6	TRINITY_DN447919_c0_g1_i1	1.6e-07
A0A0E4AZP0	TRINITY_DN594434_c0_g1_i1	8.6e-09
A0A0H2VDI7	TRINITY_DN562376_c0_g1_i1	3.2e-11
A0A0H2XCS3	TRINITY_DN638608_c0_g1_i1	1.9e-08
A0A0H3JQ59	TRINITY_DN337653_c0_g1_i1	1.1e-10
A0A0I9QGZ2	TRINITY_DN516744_c0_g1_i1	2.2e-13
A0A0J9X1Q5	TRINITY_DN300996_c0_g1_i2	6.1e-08
A0A0J9X1Q5	TRINITY_DN300996_c0_g1_i4	7.9e-08
A0A0J9X1Q5	TRINITY_DN300996_c0_g1_i5	6.1e-08
A0A0K2VM55	TRINITY_DN453476_c0_g1_i1	3.9e-12
A0A0K2VM55	TRINITY_DN538686_c0_g1_i1	7.0e-08
A0A0K9RDW0	TRINITY_DN308633_c2_g1_i1	1.8e-06
A0A0K9RDW0	TRINITY_DN372143_c0_g1_i1	6.7e-08
A0A0K9RDW0	TRINITY_DN607175_c0_g1_i1	1.7e-07
A0A0P0V4R0	TRINITY_DN694240_c0_g1_i1	1.6e-07
A0A0P0VG31	TRINITY_DN485955_c0_g1_i1	1.1e-07
A0A0P0VG31	TRINITY_DN684760_c0_g1_i1	8.0e-08
A0A0P0WY03	TRINITY_DN468975_c0_g1_i1	4.2e-06
A0A0P0X004	TRINITY_DN302069_c0_g3_i1	3.6e-07
A0A0P0X004	TRINITY_DN307943_c0_g2_i1	3.3e-18
A0A0P0X004	TRINITY_DN679630_c0_g1_i1	3.1e-07
A0A0R4I9Y1	TRINITY_DN127940_c0_g1_i1	9.0e-07
A0A0R4I9Y1	TRINITY_DN127940_c0_g1_i2	1.4e-18
A0A0R4I9Y1	TRINITY_DN308875_c4_g2_i2	3.5e-08
A0A0R4I9Y1	TRINITY_DN316593_c1_g2_i2	1.8e-09
A0A0R4I9Y1	TRINITY_DN316593_c1_g4_i1	2.1e-07
A0A0R4I9Y1	TRINITY_DN334649_c0_g1_i1	6.1e-11
A0A0R4I9Y1	TRINITY_DN384292_c0_g1_i1	3.3e-27
A0A0R4I9Y1	TRINITY_DN441897_c0_g1_i1	4.5e-12
A0A0R4I9Y1	TRINITY_DN481547_c0_g1_i1	6.4e-07
A0A0R4IBK5	TRINITY_DN108079_c0_g1_i1	3.7e-07
A0A0R4IBK5	TRINITY_DN127881_c0_g1_i1	2.0e-10
A0A0R4IBK5	TRINITY_DN276433_c0_g1_i1	1.7e-33
A0A0R4IBK5	TRINITY_DN308875_c4_g2_i1	7.8e-07
A0A0R4IBK5	TRINITY_DN331074_c0_g1_i1	9.7e-16
A0A0R4IBK5	TRINITY_DN344300_c0_g1_i1	2.7e-09
A0A0R4IBK5	TRINITY_DN443243_c0_g1_i1	8.6e-10
A0A0R4IBK5	TRINITY_DN484240_c0_g1_i1	1.9e-08
A0A0R4IBK5	TRINITY_DN492082_c0_g1_i1	1.8e-19
A0A0R4IBK5	TRINITY_DN579358_c0_g1_i1	4.9e-06
A0A0R4IBK5	TRINITY_DN606132_c0_g1_i1	2.0e-09
A0A0R4IBK5	TRINITY_DN619550_c0_g1_i1	1.3e-24
A0A0R4IBK5	TRINITY_DN623584_c0_g1_i1	3.2e-20
A0A0R4IBK5	TRINITY_DN687883_c0_g1_i1	3.1e-11
