TRINITY_DN102431_c0_g1	tRNA binding	nucleic acid binding activity	F
TRINITY_DN238280_c0_g1	tRNA binding	nucleic acid binding activity	F
TRINITY_DN271649_c0_g1	tRNA binding	nucleic acid binding activity	F
TRINITY_DN276607_c0_g1	tRNA binding	nucleic acid binding activity	F
TRINITY_DN277000_c0_g1	tRNA binding	nucleic acid binding activity	F
TRINITY_DN316649_c0_g1	tRNA binding	nucleic acid binding activity	F
TRINITY_DN298605_c1_g1	succinate dehydrogenase activity	other molecular function	F
TRINITY_DN271641_c0_g3	SNARE binding	other molecular function	F
TRINITY_DN255876_c0_g1	magnesium ion binding	other molecular function	F
TRINITY_DN255960_c0_g1	magnesium ion binding	other molecular function	F
TRINITY_DN271000_c0_g1	magnesium ion binding	other molecular function	F
TRINITY_DN292383_c0_g1	magnesium ion binding	other molecular function	F
TRINITY_DN293818_c3_g2	adenine nucleotide transmembrane transporter activity	transporter activity	F
TRINITY_DN256219_c0_g2	nucleoside binding	other molecular function	F
TRINITY_DN298167_c1_g1	nucleoside binding	other molecular function	F
TRINITY_DN310742_c0_g4	nucleoside binding	other molecular function	F
TRINITY_DN312716_c1_g1	nucleoside binding	other molecular function	F
TRINITY_DN256219_c0_g2	purine nucleoside binding	other molecular function	F
TRINITY_DN298167_c1_g1	purine nucleoside binding	other molecular function	F
TRINITY_DN310742_c0_g4	purine nucleoside binding	other molecular function	F
TRINITY_DN312716_c1_g1	purine nucleoside binding	other molecular function	F
TRINITY_DN104822_c0_g1	DNA binding	nucleic acid binding activity	F
TRINITY_DN25194_c0_g1	DNA binding	nucleic acid binding activity	F
TRINITY_DN271688_c0_g1	DNA binding	nucleic acid binding activity	F
TRINITY_DN276081_c0_g1	DNA binding	nucleic acid binding activity	F
TRINITY_DN276081_c0_g2	DNA binding	nucleic acid binding activity	F
TRINITY_DN276935_c0_g1	DNA binding	nucleic acid binding activity	F
TRINITY_DN276943_c0_g1	DNA binding	nucleic acid binding activity	F
TRINITY_DN276983_c0_g1	DNA binding	nucleic acid binding activity	F
TRINITY_DN278966_c0_g1	DNA binding	nucleic acid binding activity	F
TRINITY_DN278966_c0_g2	DNA binding	nucleic acid binding activity	F
TRINITY_DN292378_c0_g2	DNA binding	nucleic acid binding activity	F
TRINITY_DN292387_c4_g1	DNA binding	nucleic acid binding activity	F
TRINITY_DN293494_c0_g1	DNA binding	nucleic acid binding activity	F
TRINITY_DN294650_c0_g4	DNA binding	nucleic acid binding activity	F
TRINITY_DN296758_c2_g5	DNA binding	nucleic acid binding activity	F
TRINITY_DN298472_c6_g3	DNA binding	nucleic acid binding activity	F
TRINITY_DN298834_c0_g2	DNA binding	nucleic acid binding activity	F
TRINITY_DN299750_c3_g3	DNA binding	nucleic acid binding activity	F
TRINITY_DN311791_c2_g1	DNA binding	nucleic acid binding activity	F
TRINITY_DN314173_c1_g1	DNA binding	nucleic acid binding activity	F
